class,TLOC, TASSERT
./src/test/java/org/jfree/chart/renderer/xy/GradientXYBarPainterTest.java,46,12
./src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest.java,47,11
./src/test/java/org/jfree/data/time/ohlc/OHLCTest.java,48,13
./src/test/java/org/jfree/chart/axis/SymbolAxisTest.java,50,16
./src/test/java/org/jfree/chart/block/LineBorderTest.java,50,10
./src/test/java/org/jfree/chart/entity/CategoryLabelEntityTest.java,50,13
./src/test/java/org/jfree/chart/axis/MarkerAxisBandTest.java,51,14
./src/test/java/org/jfree/chart/urls/CustomPieURLGeneratorTest.java,51,9
./src/test/java/org/jfree/chart/entity/StandardEntityCollectionTest.java,52,9
./src/test/java/org/jfree/data/xy/MatrixSeriesCollectionTest.java,52,10
./src/test/java/org/jfree/chart/block/ColumnArrangementTest.java,53,12
./src/test/java/org/jfree/chart/block/FlowArrangementTest.java,53,12
./src/test/java/org/jfree/chart/entity/LegendItemEntityTest.java,53,15
./src/test/java/org/jfree/chart/text/format/LogFormatTest.java,53,15
./src/test/java/org/jfree/data/KeyedObjectTest.java,53,16
./src/test/java/org/jfree/data/xy/VectorDataItemTest.java,53,16
./src/test/java/org/jfree/data/xy/XIntervalDataItemTest.java,53,18
./src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,53,18
./src/test/java/org/jfree/data/statistics/SimpleHistogramDatasetTest.java,54,12
./src/test/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGeneratorTest.java,55,12
./src/test/java/org/jfree/chart/title/DateTitleTest.java,55,15
./src/test/java/org/jfree/chart/urls/StandardCategoryURLGeneratorTest.java,55,13
./src/test/java/org/jfree/chart/labels/HighLowItemLabelGeneratorTest.java,56,13
./src/test/java/org/jfree/chart/LegendItemCollectionTest.java,56,9
./src/test/java/org/jfree/chart/plot/PlotRenderingInfoTest.java,56,18
./src/test/java/org/jfree/data/xy/IntervalXYDelegateTest.java,56,12
./src/test/java/org/jfree/chart/entity/XYItemEntityTest.java,57,15
./src/test/java/org/jfree/data/flow/DefaultFlowDatasetTest.java,57,14
./src/test/java/org/jfree/data/gantt/TaskSeriesTest.java,57,13
./src/test/java/org/jfree/chart/block/ColorBlockTest.java,58,14
./src/test/java/org/jfree/chart/labels/MultipleXYSeriesLabelGeneratorTest.java,58,15
./src/test/java/org/jfree/chart/plot/pie/PieLabelRecordTest.java,58,18
./src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,59,17
./src/test/java/org/jfree/chart/urls/StandardPieURLGeneratorTest.java,59,15
./src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest.java,60,17
./src/test/java/org/jfree/data/DefaultKeyedValueTest.java,60,16
./src/test/java/org/jfree/data/gantt/TaskTest.java,60,19
./src/test/java/org/jfree/chart/annotations/CategoryTextAnnotationTest.java,61,14
./src/test/java/org/jfree/data/ComparableObjectItemTest.java,61,13
./src/test/java/org/jfree/chart/axis/QuarterDateFormatTest.java,62,14
./src/test/java/org/jfree/chart/renderer/category/CategoryStepRendererTest.java,63,11
./src/test/java/org/jfree/data/function/PolynomialFunction2DTest.java,63,10
./src/test/java/org/jfree/chart/entity/CategoryItemEntityTest.java,64,11
./src/test/java/org/jfree/chart/labels/IntervalCategoryItemLabelGeneratorTest.java,64,13
./src/test/java/org/jfree/chart/labels/StandardXYSeriesLabelGeneratorTest.java,64,13
./src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest.java,64,20
./src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,65,16
./src/test/java/org/jfree/chart/entity/PieSectionEntityTest.java,65,19
./src/test/java/org/jfree/chart/internal/ShapeUtilsTest.java,65,13
./src/test/java/org/jfree/chart/labels/StandardCategorySeriesLabelGeneratorTest.java,65,12
./src/test/java/org/jfree/chart/urls/TimeSeriesURLGeneratorTest.java,65,14
./src/test/java/org/jfree/data/xy/XYBarDatasetTest.java,65,9
./src/test/java/org/jfree/chart/axis/CyclicNumberAxisTest.java,66,19
./src/test/java/org/jfree/chart/renderer/xy/XYSplineRendererTest.java,66,17
./src/test/java/org/jfree/chart/WaterfallChartTest.java,66,2
./src/test/java/org/jfree/chart/plot/compass/CompassPlotTest.java,67,17
./src/test/java/org/jfree/chart/plot/dial/StandardDialFrameTest.java,67,19
./src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,67,16
./src/test/java/org/jfree/chart/renderer/category/StackedAreaRendererTest.java,67,17
./src/test/java/org/jfree/chart/block/RectangleConstraintTest.java,68,18
./src/test/java/org/jfree/chart/renderer/category/StackedBarRendererTest.java,68,18
./src/test/java/org/jfree/data/time/ohlc/OHLCItemTest.java,68,23
./src/test/java/org/jfree/data/xy/XYIntervalDataItemTest.java,68,24
./src/test/java/org/jfree/chart/internal/SerialUtilsTest.java,72,3
./src/test/java/org/jfree/chart/renderer/category/WaterfallBarRendererTest.java,72,31
./src/test/java/org/jfree/data/gantt/XYTaskDatasetTest.java,72,15
./src/test/java/org/jfree/chart/axis/DateTickTest.java,73,19
./src/test/java/org/jfree/chart/block/LabelBlockTest.java,73,20
./src/test/java/org/jfree/chart/plot/dial/DialTextAnnotationTest.java,73,22
./src/test/java/org/jfree/chart/plot/IntervalMarkerTest.java,73,18
./src/test/java/org/jfree/chart/axis/MonthDateFormatTest.java,74,18
./src/test/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGeneratorTest.java,74,15
