class,WMC,TASSERT
./src/test/java/org/jfree/chart/entity/XYItemEntityTest.java,8,15
./src/test/java/org/jfree/chart/block/ColorBlockTest.java,8,14
./src/test/java/org/jfree/chart/plot/pie/PieLabelRecordTest.java,8,18
./src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest.java,8,17
./src/test/java/org/jfree/data/gantt/TaskTest.java,8,19
./src/test/java/org/jfree/chart/annotations/CategoryTextAnnotationTest.java,8,14
./src/test/java/org/jfree/chart/axis/QuarterDateFormatTest.java,8,14
./src/test/java/org/jfree/chart/entity/CategoryItemEntityTest.java,8,11
./src/test/java/org/jfree/chart/labels/IntervalCategoryItemLabelGeneratorTest.java,8,13
./src/test/java/org/jfree/chart/entity/PieSectionEntityTest.java,8,19
./src/test/java/org/jfree/chart/axis/CyclicNumberAxisTest.java,8,19
./src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,8,16
./src/test/java/org/jfree/chart/axis/DateTickTest.java,8,19
./src/test/java/org/jfree/chart/block/LabelBlockTest.java,8,20
./src/test/java/org/jfree/chart/axis/MonthDateFormatTest.java,8,18
./src/test/java/org/jfree/chart/labels/IntervalCategoryToolTipGeneratorTest.java,8,14
./src/test/java/org/jfree/chart/renderer/category/LayeredBarRendererTest.java,8,12
./src/test/java/org/jfree/chart/axis/CategoryTickTest.java,8,17
./src/test/java/org/jfree/chart/block/AbstractBlockTest.java,8,26
./src/test/java/org/jfree/chart/axis/ExtendedCategoryAxisTest.java,8,24
./src/test/java/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,8,14
./src/test/java/org/jfree/chart/labels/StandardXYToolTipGeneratorTest.java,8,21
./src/test/java/org/jfree/chart/labels/StandardPieSectionLabelGeneratorTest.java,8,19
./src/test/java/org/jfree/chart/legend/LegendTitleTest.java,8,22
./src/test/java/org/jfree/chart/plot/dial/DialCapTest.java,8,22
./src/test/java/org/jfree/chart/axis/CategoryLabelPositionTest.java,8,17
./src/test/java/org/jfree/chart/annotations/XYTitleAnnotationTest.java,8,13
./src/test/java/org/jfree/data/xy/MatrixSeriesTest.java,8,32
./src/test/java/org/jfree/chart/annotations/XYPolygonAnnotationTest.java,8,17
./src/test/java/org/jfree/data/statistics/BoxAndWhiskerCalculatorTest.java,8,19
./src/test/java/org/jfree/chart/legend/PaintScaleLegendTest.java,8,28
./src/test/java/org/jfree/chart/annotations/CategoryPointerAnnotationTest.java,8,30
./src/test/java/org/jfree/chart/annotations/XYPointerAnnotationTest.java,8,30
./src/test/java/org/jfree/chart/annotations/XYShapeAnnotationTest.java,8,17
./src/test/java/org/jfree/chart/annotations/CategoryLineAnnotationTest.java,8,27
./src/test/java/org/jfree/chart/plot/dial/DialValueIndicatorTest.java,8,37
./src/test/java/org/jfree/chart/axis/CategoryAxisTest.java,8,38
./src/test/java/org/jfree/chart/axis/CategoryLabelPositionsTest.java,8,12
./src/test/java/org/jfree/chart/annotations/XYLineAnnotationTest.java,8,33
./src/test/java/org/jfree/chart/axis/ValueAxisTest.java,8,39
./src/test/java/org/jfree/chart/annotations/XYBoxAnnotationTest.java,8,21
./src/test/java/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,8,65
./src/test/java/org/jfree/chart/renderer/AreaRendererEndTypeTest.java,9,5
./src/test/java/org/jfree/chart/plot/PlotOrientationTest.java,9,6
./src/test/java/org/jfree/chart/internal/CloneUtilsTest.java,9,5
./src/test/java/org/jfree/chart/axis/AxisLocationTest.java,9,8
./src/test/java/org/jfree/data/function/PowerFunction2DTest.java,9,7
./src/test/java/org/jfree/data/time/FixedMillisecondTest.java,9,5
./src/test/java/org/jfree/data/function/LineFunction2DTest.java,9,7
./src/test/java/org/jfree/data/DomainOrderTest.java,9,15
./src/test/java/org/jfree/data/RangeTypeTest.java,9,15
./src/test/java/org/jfree/chart/swing/CrosshairOverlayTest.java,9,6
./src/test/java/org/jfree/chart/renderer/xy/WindItemRendererTest.java,9,8
./src/test/java/org/jfree/data/function/NormalDistributionFunction2DTest.java,9,7
./src/test/java/org/jfree/chart/renderer/OutlierTest.java,9,13
./src/test/java/org/jfree/chart/renderer/xy/DeviationRendererTest.java,9,11
./src/test/java/org/jfree/chart/renderer/xy/DeviationStepRendererTest.java,9,11
./src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest.java,9,11
./src/test/java/org/jfree/chart/urls/CustomPieURLGeneratorTest.java,9,9
./src/test/java/org/jfree/data/xy/MatrixSeriesCollectionTest.java,9,10
./src/test/java/org/jfree/chart/text/format/LogFormatTest.java,9,15
./src/test/java/org/jfree/chart/title/DateTitleTest.java,9,15
./src/test/java/org/jfree/chart/labels/MultipleXYSeriesLabelGeneratorTest.java,9,15
./src/test/java/org/jfree/chart/urls/StandardPieURLGeneratorTest.java,9,15
./src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,9,17
./src/test/java/org/jfree/chart/renderer/category/CategoryStepRendererTest.java,9,11
./src/test/java/org/jfree/data/xy/XYBarDatasetTest.java,9,9
./src/test/java/org/jfree/chart/urls/TimeSeriesURLGeneratorTest.java,9,14
./src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,9,16
./src/test/java/org/jfree/chart/renderer/category/StackedAreaRendererTest.java,9,17
./src/test/java/org/jfree/chart/plot/dial/StandardDialFrameTest.java,9,19
./src/test/java/org/jfree/chart/renderer/category/StackedBarRendererTest.java,9,18
./src/test/java/org/jfree/chart/plot/dial/DialTextAnnotationTest.java,9,22
./src/test/java/org/jfree/chart/labels/StandardPieToolTipGeneratorTest.java,9,19
./src/test/java/org/jfree/chart/plot/dial/ArcDialFrameTest.java,9,25
./src/test/java/org/jfree/chart/labels/StandardCategoryToolTipGeneratorTest.java,9,16
./src/test/java/org/jfree/chart/renderer/category/AreaRendererTest.java,9,13
./src/test/java/org/jfree/chart/title/TextTitleTest.java,9,25
./src/test/java/org/jfree/chart/title/CompositeTitleTest.java,9,19
./src/test/java/org/jfree/chart/plot/RingPlotTest.java,9,28
./src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java,9,14
./src/test/java/org/jfree/chart/renderer/xy/StackedXYBarRendererTest.java,9,18
./src/test/java/org/jfree/chart/renderer/xy/AbstractXYItemRendererTest.java,9,20
./src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2Test.java,9,16
./src/test/java/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java,9,16
./src/test/java/org/jfree/chart/renderer/xy/XYStepAreaRendererTest.java,9,20
./src/test/java/org/jfree/chart/labels/StandardXYItemLabelGeneratorTest.java,9,32
./src/test/java/org/jfree/chart/renderer/category/LevelRendererTest.java,9,17
./src/test/java/org/jfree/data/xy/DefaultHighLowDatasetTest.java,9,21
./src/test/java/org/jfree/chart/plot/DefaultDrawingSupplierTest.java,9,27
./src/test/java/org/jfree/chart/plot/CrosshairTest.java,9,39
./src/test/java/org/jfree/chart/renderer/xy/XYStepRendererTest.java,9,12
./src/test/java/org/jfree/chart/StandardChartThemeTest.java,9,61
./src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java,9,8
./src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java,9,20
./src/test/java/org/jfree/chart/plot/flow/FlowPlotTest.java,9,42
./src/test/java/org/jfree/chart/PieChartTest.java,10,2
./src/test/java/org/jfree/data/xy/XIntervalDataItemTest.java,10,18
./src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,10,18
./src/test/java/org/jfree/chart/urls/StandardCategoryURLGeneratorTest.java,10,13
./src/test/java/org/jfree/data/gantt/TaskSeriesTest.java,10,13
./src/test/java/org/jfree/data/flow/DefaultFlowDatasetTest.java,10,14
./src/test/java/org/jfree/chart/labels/StandardXYSeriesLabelGeneratorTest.java,10,13
./src/test/java/org/jfree/chart/labels/StandardCategorySeriesLabelGeneratorTest.java,10,12
./src/test/java/org/jfree/chart/plot/compass/CompassPlotTest.java,10,17
./src/test/java/org/jfree/data/time/ohlc/OHLCItemTest.java,10,23
./src/test/java/org/jfree/data/xy/XYIntervalDataItemTest.java,10,24
./src/test/java/org/jfree/data/xy/DefaultOHLCDatasetTest.java,10,17
./src/test/java/org/jfree/chart/XYStepAreaChartTest.java,10,4
./src/test/java/org/jfree/chart/ScatterPlotTest.java,10,4
./src/test/java/org/jfree/chart/TimeSeriesChartTest.java,10,4
./src/test/java/org/jfree/chart/XYLineChartTest.java,10,4
./src/test/java/org/jfree/chart/XYBarChartTest.java,10,4
./src/test/java/org/jfree/chart/renderer/xy/XYBubbleRendererTest.java,10,13
./src/test/java/org/jfree/chart/plot/PlotTest.java,10,30
./src/test/java/org/jfree/chart/XYStepChartTest.java,10,4
./src/test/java/org/jfree/chart/renderer/xy/HighLowRendererTest.java,10,22
./src/test/java/org/jfree/data/time/SimpleTimePeriodTest.java,10,21
./src/test/java/org/jfree/chart/renderer/xy/XYDotRendererTest.java,10,19
./src/test/java/org/jfree/chart/annotations/XYTextAnnotationTest.java,10,32
./src/test/java/org/jfree/chart/labels/BubbleXYItemLabelGeneratorTest.java,10,27
./src/test/java/org/jfree/data/general/DefaultHeatMapDatasetTest.java,10,38
./src/test/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRendererTest.java,10,22
./src/test/java/org/jfree/chart/plot/pie/MultiplePiePlotTest.java,10,32
./src/test/java/org/jfree/chart/renderer/xy/XYAreaRenderer2Test.java,10,16
./src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest.java,10,15
./src/test/java/org/jfree/chart/renderer/xy/YIntervalRendererTest.java,10,43
./src/test/java/org/jfree/chart/plot/dial/StandardDialScaleTest.java,10,61
./src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java,10,9
./src/test/java/org/jfree/chart/renderer/xy/StandardXYItemRendererTest.java,10,36
./src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java,10,10
